,0,1,2,3,4,5,6,7,8,9
0,0.0,646.931,1615.852,167.15,99.546,1038.827,346.719,220.902,142.439,3836.907
1,646.931,0.0,975.32,814.076,746.336,412.076,307.669,867.823,504.634,3195.924
2,1615.852,975.32,0.0,1782.203,1715.253,669.89,1282.771,1835.64,1474.945,2294.58
3,167.15,814.076,1782.203,0.0,67.912,1204.078,512.612,53.79,309.506,4002.689
4,99.546,746.336,1715.253,67.912,0.0,1136.327,444.731,121.634,241.73,3934.872
5,1038.827,412.076,669.89,1204.078,1136.327,0.0,692.158,1257.45,897.659,2798.801
6,346.719,307.669,1282.771,512.612,444.731,692.158,0.0,566.202,205.75,3490.259
7,220.902,867.823,1835.64,53.79,121.634,1257.45,566.202,0.0,363.263,4056.136
8,142.439,504.634,1474.945,309.506,241.73,897.659,205.75,363.263,0.0,3695.114
9,3836.907,3195.924,2294.58,4002.689,3934.872,2798.801,3490.259,4056.136,3695.114,0.0
