,0,1,2,3,4,5,6,7,8,9
0,0.0,685.155,1407.269,236.438,146.795,272.536,2898.578,249.613,1391.422,10626.352
1,685.155,0.0,724.882,921.176,831.594,415.77,2214.964,531.301,828.932,9943.77
2,1407.269,724.882,0.0,1641.914,1552.742,1135.224,1491.357,1249.906,709.408,9236.84
3,236.438,921.176,1641.914,0.0,89.666,506.763,3133.245,457.816,1613.363,10862.753
4,146.795,831.594,1552.742,89.666,0.0,417.519,3044.096,375.438,1529.086,10773.141
5,272.536,415.77,1135.224,506.763,417.519,0.0,2626.579,221.316,1170.533,10359.504
6,2898.578,2214.964,1491.357,3133.245,3044.096,2626.579,0.0,2732.841,1812.455,7767.946
7,249.613,531.301,1249.906,457.816,375.438,221.316,2732.841,0.0,1155.797,10431.976
8,1391.422,828.932,709.408,1613.363,1529.086,1170.533,1812.455,1155.797,0.0,9340.275
9,10626.352,9943.77,9236.84,10862.753,10773.141,10359.504,7767.946,10431.976,9340.275,0.0
