,0,1,2,3,4,5,6,7,8,9
0,0.0,1100.859,2105.443,402.891,3169.004,1924.624,9045.32,15760.122,14110.834,5567.685
1,1100.859,0.0,1010.198,698.488,2085.461,1182.864,7957.776,14682.451,13208.003,4492.458
2,2105.443,1010.198,0.0,1702.793,1080.535,1313.327,6947.821,13674.708,12508.957,3488.159
3,402.891,698.488,1702.793,0.0,2768.608,1615.788,8644.807,15362.418,13786.484,5169.937
4,3169.004,2085.461,1080.535,2768.608,0.0,2153.771,5876.33,12597.04,11938.376,2407.919
5,1924.624,1182.864,1313.327,1615.788,2153.771,0.0,7718.222,14455.119,12233.96,4404.563
6,9045.32,7957.776,6947.821,8644.807,5876.33,7718.222,0.0,6743.884,9545.879,3494.222
7,15760.122,14682.451,13674.708,15362.418,12597.04,14455.119,6743.884,0.0,11524.506,10192.525
8,14110.834,13208.003,12508.957,13786.484,11938.376,12233.96,9545.879,11524.506,0.0,10883.382
9,5567.685,4492.458,3488.159,5169.937,2407.919,4404.563,3494.222,10192.525,10883.382,0.0
