,0,1,2,3,4,5,6,7,8,9
0,0.0,514.627,1571.243,1338.161,3022.661,2006.703,9032.333,15747.234,14100.145,5554.787
1,514.627,0.0,1081.379,827.841,2511.459,1637.729,8521.198,15239.877,13684.607,5047.516
2,1571.243,1081.379,0.0,566.551,1649.389,910.994,7588.405,14328.226,12643.986,4167.637
3,1338.161,827.841,566.551,0.0,1684.516,1405.109,7694.277,14412.057,13125.351,4219.761
4,3022.661,2511.459,1649.389,1684.516,0.0,2124.263,6009.82,12731.398,12006.395,2542.569
5,2006.703,1637.729,910.994,1405.109,2124.263,0.0,7742.628,14474.554,12167.794,4452.972
6,9032.333,8521.198,7588.405,7694.277,6009.82,7742.628,0.0,6743.884,9545.879,3494.222
7,15747.234,15239.877,14328.226,14412.057,12731.398,14474.554,6743.884,0.0,11524.506,10192.525
8,14100.145,13684.607,12643.986,13125.351,12006.395,12167.794,9545.879,11524.506,0.0,10883.382
9,5554.787,5047.516,4167.637,4219.761,2542.569,4452.972,3494.222,10192.525,10883.382,0.0
