,0,1,2,3,4,5,6,7,8,9
0,0.0,602.955,2102.554,1430.209,3211.456,3281.488,9517.668,15757.691,20200.259,5588.854
1,602.955,0.0,1500.825,833.43,2613.997,2682.569,8918.813,15335.957,19602.263,5123.067
2,2102.554,1500.825,0.0,674.828,2062.251,1358.796,7771.222,14980.056,18111.885,4768.923
3,1430.209,833.43,674.828,0.0,1784.512,1855.58,8090.51,14506.486,18775.121,4293.502
4,3211.456,2613.997,2062.251,1784.512,0.0,3413.036,6312.53,12922.931,16995.134,2710.057
5,3281.488,2682.569,1358.796,1855.58,3413.036,0.0,9116.025,16325.271,17521.518,6110.832
6,9517.668,8918.813,7771.222,8090.51,6312.53,9116.025,0.0,7219.197,10690.484,3935.293
7,15757.691,15335.957,14980.056,14506.486,12922.931,16325.271,7219.197,0.0,16003.499,10221.031
8,20200.259,19602.263,18111.885,18775.121,16995.134,17521.518,10690.484,16003.499,0.0,14613.552
9,5588.854,5123.067,4768.923,4293.502,2710.057,6110.832,3935.293,10221.031,14613.552,0.0
