,0,1,2,3,4,5,6,7,8,9
0,0.0,779.397,2102.865,204.523,125.597,1100.833,374.89,272.935,171.365,4170.305
1,779.397,0.0,1327.584,983.02,904.37,490.928,406.701,1050.916,609.749,3396.42
2,2102.865,1327.584,0.0,2306.38,2227.556,1005.293,1731.064,2374.545,1934.087,2513.423
3,204.523,983.02,2306.38,0.0,79.402,1303.896,577.402,69.59,375.248,4372.789
4,125.597,904.37,2227.556,79.402,0.0,1225.352,499.158,147.866,296.255,4294.953
5,1100.833,490.928,1005.293,1303.896,1225.352,0.0,728.924,1372.092,935.885,3072.889
6,374.89,406.701,1731.064,577.402,499.158,728.924,0.0,645.77,212.181,3797.899
7,272.935,1050.916,2374.545,69.59,147.866,1372.092,645.77,0.0,443.498,4440.72
8,171.365,609.749,1934.087,375.248,296.255,935.885,212.181,443.498,0.0,4001.038
9,4170.305,3396.42,2513.423,4372.789,4294.953,3072.889,3797.899,4440.72,4001.038,0.0
