,0,1,2,3,4,5,6,7,8,9
0,0.0,775.805,1500.84,287.351,177.255,278.003,3104.116,382.469,2028.739,12695.389
1,775.805,0.0,732.704,1061.783,952.467,499.653,2336.037,652.125,1255.347,11924.08
2,1500.84,732.704,0.0,1786.572,1677.155,1224.764,1605.27,1376.942,1006.368,11196.787
3,287.351,1061.783,1786.572,0.0,110.47,563.475,3388.744,667.483,2314.427,12978.891
4,177.255,952.467,1677.155,110.47,0.0,454.244,3279.855,558.134,2204.8,12870.996
5,278.003,499.653,1224.764,563.475,454.244,0.0,2828.265,335.664,1753.198,12419.434
6,3104.116,2336.037,1605.27,3388.744,3279.855,2828.265,0.0,2777.742,2380.461,9597.441
7,382.469,652.125,1376.942,667.483,558.134,335.664,2777.742,0.0,1653.445,12322.898
8,2028.739,1255.347,1006.368,2314.427,2204.8,1753.198,2380.461,1653.445,0.0,10775.939
9,12695.389,11924.08,11196.787,12978.891,12870.996,12419.434,9597.441,12322.898,10775.939,0.0
